"metric","value"
"analysis_id","landskapsanalys_v3_2_contourterrain68_res9"
"n_hex","7286"
"n_input_layers","68"
"n_context_columns","680"
"n_factor_columns","5"
"k_best","5"
"weight_strategy","geometry_balanced_q99"
"weight_quantile","0.99"
"theme_balance_mode","within_geometry"
"layer_weight_spec","gc_agricultural_land_share=1.40; gc_relief_m=1.05; gc_highest_point_m=1.05; gc_contour_mean_elevation_m=1.10; gc_contour_mean_slope_deg=1.15; gc_contour_valley_depth_max_m=1.25; gc_high_agri_plateau_proxy=1.35"
"theme_weight_spec","Land use=1.60"
"geometry_weight_spec","Continuous metric=1.20"
"weight_rescale_mode","n_input_layers"
"weight_rescale_factor","68"
"raw_total_sum","3884930.21157999"
"base_total_sum","1057.84371549631"
"total_weight_sum","71933.3726537488"
"zero_raw_total_hex","0"
"zero_total_hex","0"
"excluded_zero_signal_hex","605"
